               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.018424,            0.018467,                   0,             0.97364,             0.88764,             0.94752,             0.80769,            0.015407,           0.0081321,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.018967,             0.01964,                   0,             0.91552,             0.89888,             0.94657,             0.79013,            0.015666,           0.0080687,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.018542,            0.019017,                   0,             0.92087,             0.91536,             0.94461,             0.79732,            0.015383,           0.0080153,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.018334,            0.018576,                   0,             0.95157,             0.89888,             0.95377,             0.82252,            0.016493,             0.00794,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.018506,            0.018601,                   0,             0.92981,             0.90449,             0.95152,             0.82504,            0.016071,            0.008035,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.017895,            0.018321,                   0,             0.94686,             0.90088,             0.94825,             0.81729,            0.014912,           0.0079495,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.018484,            0.019551,                   0,             0.94751,             0.91266,             0.95926,             0.82654,            0.015089,           0.0078431,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.017819,            0.018224,                   0,             0.92869,             0.92135,              0.9574,             0.82644,            0.014908,            0.007644,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.016956,            0.017624,                   0,             0.92251,             0.93632,             0.96431,             0.82377,            0.014437,           0.0076761,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.017949,            0.017834,                   0,             0.93677,             0.91555,             0.95795,             0.82122,            0.014966,           0.0077464,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.017068,              0.0181,                   0,             0.94461,             0.88764,             0.95183,             0.80653,            0.015897,           0.0081901,                   0,            0.003268,            0.003268,            0.003268
                  70,             0.01646,            0.018161,                   0,             0.95477,             0.91011,             0.96582,             0.82827,            0.015246,           0.0078535,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.016863,            0.017205,                   0,             0.96442,             0.91379,             0.96573,             0.84066,            0.015894,           0.0075793,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.016636,            0.017411,                   0,             0.98096,             0.91011,             0.96677,             0.84188,            0.014857,           0.0072504,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.016537,            0.017683,                   0,             0.97953,             0.92135,             0.96897,             0.84083,            0.014427,           0.0074191,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.016221,            0.016765,                   0,             0.95342,             0.92003,              0.9641,             0.84131,            0.014441,           0.0076013,                   0,            0.002773,            0.002773,            0.002773
                  75,              0.0159,            0.017296,                   0,             0.94765,             0.91534,             0.96361,             0.83549,            0.013906,           0.0076037,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.015828,             0.01672,                   0,             0.98539,             0.88202,             0.96206,             0.84018,             0.01445,           0.0075233,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.016306,            0.017301,                   0,             0.96282,             0.89326,             0.96167,             0.84278,            0.014223,           0.0076331,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.016365,            0.016736,                   0,              0.9309,             0.90821,             0.95861,             0.82906,            0.014503,           0.0076572,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.015862,            0.017206,                   0,             0.92172,             0.90449,             0.95816,             0.83402,            0.014163,           0.0078742,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.015205,            0.016222,                   0,             0.94629,             0.89888,             0.96592,              0.8399,            0.013834,           0.0076148,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.015952,            0.016313,                   0,             0.92657,             0.92152,             0.96937,             0.84285,            0.013372,           0.0076701,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.015045,             0.01734,                   0,             0.94019,             0.92135,             0.96846,             0.85019,            0.013087,            0.007479,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.015235,            0.017199,                   0,             0.97003,             0.90928,             0.96849,             0.85132,            0.013301,           0.0073214,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.015699,            0.016872,                   0,             0.96778,             0.90449,             0.96883,             0.85385,            0.013461,           0.0074634,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.014559,            0.016397,                   0,             0.94227,             0.91698,             0.96402,             0.84796,            0.013544,           0.0075023,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.015533,            0.016662,                   0,             0.97544,             0.89269,             0.96546,             0.84382,            0.013212,           0.0073567,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.015737,            0.016397,                   0,             0.97204,             0.90449,             0.96511,             0.85112,            0.013276,           0.0074115,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.01495,            0.016981,                   0,             0.97015,             0.91573,             0.96768,             0.85286,            0.013098,           0.0073185,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.014646,            0.016619,                   0,             0.95916,             0.92367,             0.96728,             0.85165,            0.013862,            0.007275,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.014865,            0.016844,                   0,             0.96174,             0.92135,             0.96397,             0.84884,             0.01393,           0.0073677,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.014746,            0.016977,                   0,             0.96018,             0.91011,              0.9654,             0.85181,            0.014031,           0.0074177,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.014642,            0.016377,                   0,             0.96785,             0.89888,             0.96682,             0.85456,             0.01368,           0.0074245,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.013539,            0.015606,                   0,              0.9583,             0.90371,             0.96582,             0.85898,            0.013252,           0.0074441,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.013877,             0.01599,                   0,             0.95249,             0.91011,             0.96735,             0.85746,             0.01309,            0.007401,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.013934,            0.015808,                   0,             0.95345,             0.92054,             0.96947,             0.85267,            0.012962,           0.0073022,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.013251,            0.016298,                   0,              0.9646,              0.9185,             0.96982,             0.85538,            0.012749,           0.0072846,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.012733,            0.015551,                   0,             0.96163,             0.91573,             0.96835,             0.85534,            0.012668,           0.0072937,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.013686,             0.01578,                   0,             0.96144,             0.91573,             0.96861,             0.85531,             0.01254,           0.0072708,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.014218,            0.015611,                   0,             0.96183,             0.91573,             0.96915,             0.85609,            0.012447,           0.0072908,                   0,            0.000298,            0.000298,            0.000298
